run_id,wallclock_seconds_total,algo_name,env_name,learning_rate,batch_size,nn_arch_depth,cpu_cores_logical,ram_total_gb,final_perf,steps_to_threshold,episodic_reward_mean,plateau_reward
WormFastLearn,8478.0,ppo,Worm,0.0005,2024,3,8,7.8372039794921875,923.5604248046876,,534.2996716936549,939.0479570661272
WormFastLearn2,6900.0,ppo,Worm,0.0005,2024,3,8,7.8372039794921875,853.7662963867188,,500.8262942191548,939.0479570661272
WormHighCapacity,18442.0,ppo,Worm,0.0003,2024,4,8,7.8372039794921875,854.2131958007812,,480.1009323736151,939.0479570661272
WormHighCapacity2,11931.0,ppo,Worm,0.0003,2024,4,8,7.8372039794921875,1035.940673828125,3720000.0,597.090850961601,939.0479570661272
WormSlowSteady,6881.0,ppo,Worm,0.0002,2024,3,8,7.8372039794921875,735.6386108398438,,407.4519616338664,939.0479570661272
WormSlowSteady2,6884.0,ppo,Worm,0.0002,2024,3,8,7.8372039794921875,775.6314086914062,,450.9248607169369,939.0479570661272
WormStableLearn,6906.0,ppo,Worm,0.0003,4048,3,8,7.8372039794921875,673.5184936523438,,344.8561763692045,939.0479570661272
WormStableLearn2,6852.0,ppo,Worm,0.0003,4048,3,8,7.8372039794921875,566.4047241210938,,282.3994948037727,939.0479570661272
worm_fastlearn_r1,3799.0,ppo,Worm,0.0005,2024,3,20,23.71471405029297,1048.2681884765625,3810000.0,605.4956834817718,939.0479
worm_fastlearn_r2,3961.0,ppo,Worm,0.0005,2024,3,20,23.71471405029297,1042.2818603515625,3900000.0,577.9165318811725,939.0479
worm_highcapacity_r1,6724.0,ppo,Worm,0.0003,2024,4,20,23.71471405029297,906.6604614257812,,499.2579781645072,939.0479
worm_highcapacity_r2,6925.0,ppo,Worm,0.0003,2024,4,20,23.71471405029297,782.1888427734375,,421.7104389769232,939.0479
worm_slowsteady_r1,4090.0,ppo,Worm,0.0002,2024,3,20,23.71471405029297,775.6455078125,,453.05448660950464,939.0479
worm_slowsteady_r2,4339.0,ppo,Worm,0.0002,2024,3,20,23.71471405029297,838.3564453125,,484.658024763365,939.0479
worm_stablelearn_r1,3891.0,ppo,Worm,0.0003,4048,3,20,23.71471405029297,610.3607788085938,,301.99576161864275,939.0479
worm_fastlearn_seed1,2331.0,ppo,Worm,0.0005,2024,3,12,,1035.69384765625,3840000.0,582.7284411969121,939.0479570661272
worm_fastlearn_seed2,2316.0,ppo,Worm,0.0005,2024,3,12,,1034.4930419921875,3900000.0,569.7695370450348,939.0479570661272
worm_highcapacity_seed1,4128.0,ppo,Worm,0.0003,2024,4,12,,985.97314453125,4260000.0,562.5868664337489,939.0479570661272
worm_highcapacity_seed2,4224.0,ppo,Worm,0.0003,2024,4,12,,814.6255493164062,,479.76394275508954,939.0479570661272
worm_slowsteady_seed1,2361.0,ppo,Worm,0.0002,2024,3,12,,715.1024780273438,,407.2434373999427,939.0479570661272
worm_slowsteady_seed2,2324.0,ppo,Worm,0.0002,2024,3,12,,770.7647094726562,,469.0435432395535,939.0479570661272
worm_stablelearn_seed1,2394.0,ppo,Worm,0.0003,4048,3,12,,597.0092163085938,,274.1877191041758,939.0479570661272
worm_stablelearn_seed2,2374.0,ppo,Worm,0.0003,4048,3,12,,604.0115966796875,,315.9783550350074,939.0479570661272